paper_ref,title,year,digest_status,references_status,citation_analysis_status,reference_count,digest_chars,references_json_chars,references_markdown_chars,citation_report_chars,core_full_context_chars,external_full_context_chars,digest_tokens,references_markdown_tokens,citation_report_tokens,core_full_context_tokens,external_full_context_tokens,core_context_path,external_context_path
1:7AERRYC7,DETRs with collaborative hybrid assignments training,2023,available,available,available,43,1643,8136,5072,900,1826,6189,1053,1530,553,1101,2135,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_7AERRYC7.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_7AERRYC7.md
1:7T29H6SR,SegDINO: An Efficient Design for Medical and Natural Image Segmentation with DINO-V3,2025,available,available,available,67,1100,13147,8355,20736,1347,29372,713,2325,7479,786,9881,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_7T29H6SR.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_7T29H6SR.md
1:8838AH6P,LW-DETR: a transformer replacement to YOLO for real-time detection,2024,available,available,available,55,1295,11035,7107,22630,1506,29982,786,2308,6233,848,8607,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_8838AH6P.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_8838AH6P.md
1:8AXAW2GX,Conditional Convolutions for Instance Segmentation,2020,available,available,available,45,922,8373,5165,15116,1101,20494,591,1571,5697,641,7322,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_8AXAW2GX.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_8AXAW2GX.md
1:8DP4884A,DINO Soars: DINOv3 for Open-Vocabulary Semantic Segmentation of Remote Sensing Imagery,2026,available,available,available,48,1045,12582,9158,13820,1296,23263,682,2836,6403,760,9321,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_8DP4884A.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_8DP4884A.md
1:8PP8HQMY,RT-DETRv2: Improved Baseline with Bag-of-Freebies for Real-Time Detection Transformer,2024,available,available,available,17,1106,2930,1738,3913,1355,5934,684,585,1596,756,2257,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_8PP8HQMY.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_8PP8HQMY.md
1:8WM66ZL3,Segment Anything,2023,available,available,available,117,1219,24114,15721,16050,1330,31916,782,4425,6045,821,10513,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_8WM66ZL3.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_8WM66ZL3.md
1:8YS3DEMI,Real-time object detection meets DINOv3,2026,available,available,available,31,1312,5660,3460,10062,1469,13713,807,1049,3819,859,4924,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_8YS3DEMI.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_8YS3DEMI.md
1:9CBBDH3Y,DinoDental: Benchmarking DINOv3 as a Unified Vision Encoder for Dental Image Analysis,2026,available,available,available,0,1387,23,0,76,1636,399,910,0,48,981,129,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_9CBBDH3Y.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_9CBBDH3Y.md
1:ABTG2CFC,YOLOv7: Trainable Bag-of-Freebies Sets New State-of-the-Art for Real-Time Object Detectors,2023,available,available,available,0,2103,23,0,1185,2362,1518,1343,0,659,1423,749,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_ABTG2CFC.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_ABTG2CFC.md
1:AHF2RU48,PolarStream: Streaming Lidar Object Detection and Segmentation with Polar Pillars,2021,available,available,available,41,1394,8694,5774,7307,1635,13356,1049,1797,3001,1113,4866,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_AHF2RU48.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_AHF2RU48.md
1:BBIY57N3,MedDINOv3: How to adapt vision foundation models for medical image segmentation?,2025,available,available,available,45,1624,9126,5918,7366,1863,13557,996,1677,3213,1064,4962,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_BBIY57N3.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_BBIY57N3.md
1:CBJWE4JX,DETRs beat YOLOs on real-time object detection,2024,available,available,available,43,1251,7544,4480,6619,1422,11304,792,1455,2872,849,4388,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_CBJWE4JX.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_CBJWE4JX.md
1:CGJBFE6C,Enhancing DETRs variants through improved content query and similar query aggregation,2024,available,available,available,41,2088,7311,4391,2923,2337,7597,1157,1333,1245,1217,2642,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_CGJBFE6C.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_CGJBFE6C.md
1:CHPBJDLU,PolarNet: An Improved Grid Representation for Online LiDAR Point Clouds Semantic Segmentation,2020,missing,missing,missing,0,0,0,0,0,301,380,0,0,0,73,82,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_CHPBJDLU.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_CHPBJDLU.md
1:D6BUKS9Q,DETRs with Hybrid Matching,2023,available,available,available,89,1459,16710,10334,14983,1590,25482,922,3014,6546,966,9608,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_D6BUKS9Q.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_D6BUKS9Q.md
1:DBYQ4LWE,Group DETR: Fast DETR Training with Group-Wise One-to-Many Assignment,2023,available,available,available,47,2037,8724,5372,1064,2254,6687,1237,1576,613,1306,2262,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_DBYQ4LWE.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_DBYQ4LWE.md
